source,unit,value,count,ratio
tokenized_pedal_all,tokens,96,45495,0.003805693876827185
tokenized_pedal_all,tokens,97,39100,0.0032707469080985366
tokenized_pedal_all,tokens,98,41372,0.00346080156219572
tokenized_pedal_all,tokens,99,37651,0.003149536875621944
tokenized_pedal_all,tokens,100,37989,0.0031778108514515426
tokenized_pedal_all,tokens,101,35826,0.0029968741363053243
tokenized_pedal_all,tokens,102,34219,0.0028624472748906347
tokenized_pedal_all,tokens,103,33241,0.0027806367767801397
tokenized_pedal_all,tokens,104,33504,0.0028026369414049456
tokenized_pedal_all,tokens,105,31738,0.002654909600236096
tokenized_pedal_all,tokens,106,30295,0.0025342014726558865
tokenized_pedal_all,tokens,107,29896,0.0025008247970463903
tokenized_pedal_all,tokens,108,27723,0.002319051573739533
tokenized_pedal_all,tokens,109,26494,0.002216244720796998
tokenized_pedal_all,tokens,110,26136,0.0021862977286461215
tokenized_pedal_all,tokens,111,23782,0.001989383707631698
tokenized_pedal_all,tokens,112,23673,0.001980265768680733
tokenized_pedal_all,tokens,113,21860,0.00182860683915688
tokenized_pedal_all,tokens,114,20052,0.0016773661637133467
tokenized_pedal_all,tokens,115,19683,0.0016464990125857671
tokenized_pedal_all,tokens,116,19020,0.0015910385215354007
tokenized_pedal_all,tokens,117,16877,0.0014117748227104605
tokenized_pedal_all,tokens,118,17240,0.0014421400689416566
tokenized_pedal_all,tokens,119,17063,0.0014273338744983462
tokenized_pedal_all,tokens,120,12089,0.0010112547153965014
tokenized_pedal_all,tokens,121,14408,0.0012052409578486884
tokenized_pedal_all,tokens,122,12556,0.0010503196464983434
tokenized_pedal_all,tokens,123,11062,0.000925345327298875
tokenized_pedal_all,tokens,124,46626,0.003900302949795457
tokenized_pedal_all,tokens,125,43486,0.0036376393873548073
tokenized_pedal_all,tokens,126,39672,0.003318595174887088
tokenized_pedal_all,tokens,127,4335746,0.3626886911457953
tokenized_pedal1,tokens,0,746518,0.24978735962556556
tokenized_pedal1,tokens,1,0,0.0
tokenized_pedal1,tokens,2,0,0.0
tokenized_pedal1,tokens,3,0,0.0
tokenized_pedal1,tokens,4,0,0.0
tokenized_pedal1,tokens,5,0,0.0
tokenized_pedal1,tokens,6,0,0.0
tokenized_pedal1,tokens,7,0,0.0
tokenized_pedal1,tokens,8,2289,0.0007659068718810793
tokenized_pedal1,tokens,9,2423,0.0008107437092913304
tokenized_pedal1,tokens,10,3535,0.001182822539143563
tokenized_pedal1,tokens,11,2789,0.0009332085040088818
tokenized_pedal1,tokens,12,2626,0.0008786681719352181
tokenized_pedal1,tokens,13,2792,0.0009342123138016485
tokenized_pedal1,tokens,14,1953,0.0006534801750911961
tokenized_pedal1,tokens,15,2943,0.0009847374067042448
tokenized_pedal1,tokens,16,3509,0.001174122854272917
tokenized_pedal1,tokens,17,3630,0.0012146098492478454
tokenized_pedal1,tokens,18,3585,0.001199552702356343
tokenized_pedal1,tokens,19,3399,0.0011373164952048005
tokenized_pedal1,tokens,20,3760,0.0012581082736010738
tokenized_pedal1,tokens,21,3808,0.001274169230285343
tokenized_pedal1,tokens,22,4102,0.0013725425899764909
tokenized_pedal1,tokens,23,4035,0.0013501241712713652
tokenized_pedal1,tokens,24,4395,0.001470581346403383
tokenized_pedal1,tokens,25,4017,0.0013441013125147644
tokenized_pedal1,tokens,26,4532,0.001516421993606401
tokenized_pedal1,tokens,27,4686,0.001567950896301764
tokenized_pedal1,tokens,28,5225,0.0017483020557355349
tokenized_pedal1,tokens,29,5594,0.001871770660245853
tokenized_pedal1,tokens,30,5537,0.0018526982741832836
tokenized_pedal1,tokens,31,5309,0.0017764087299330057
tokenized_pedal1,tokens,32,6279,0.0021009738962609425
tokenized_pedal1,tokens,33,5658,0.0018931852691582117
tokenized_pedal1,tokens,34,6415,0.0021464799401997047
tokenized_pedal1,tokens,35,6252,0.002091939608126041
tokenized_pedal1,tokens,36,7300,0.0024426038290659147
tokenized_pedal1,tokens,37,6874,0.002300062838493027
tokenized_pedal1,tokens,38,7030,0.0023522609477169016
tokenized_pedal1,tokens,39,7309,0.002445615258444215
tokenized_pedal1,tokens,40,7865,0.0026316546733703315
tokenized_pedal1,tokens,41,8104,0.002711624853527421
tokenized_pedal1,tokens,42,8296,0.002775868680264497
tokenized_pedal1,tokens,43,8419,0.0028170248817679364
tokenized_pedal1,tokens,44,8690,0.0029077023663812056
tokenized_pedal1,tokens,45,8834,0.0029558852364340127
tokenized_pedal1,tokens,46,9373,0.0031362363958677836
tokenized_pedal1,tokens,47,9471,0.003169027515764833
tokenized_pedal1,tokens,48,9910,0.003315918348773043
tokenized_pedal1,tokens,49,9776,0.0032710815113627923
tokenized_pedal1,tokens,50,10669,0.0035698822263430475
tokenized_pedal1,tokens,51,10846,0.0036291070041162892
tokenized_pedal1,tokens,52,11692,0.003912181365676531
tokenized_pedal1,tokens,53,11919,0.003988136306662554
tokenized_pedal1,tokens,54,12922,0.004323743380710925
tokenized_pedal1,tokens,55,13040,0.004363226565893086
tokenized_pedal1,tokens,56,13658,0.00457001138320305
tokenized_pedal1,tokens,57,14186,0.00474668190673001
tokenized_pedal1,tokens,58,15001,0.005019383567098327
tokenized_pedal1,tokens,59,15862,0.0053074769776224025
tokenized_pedal1,tokens,60,17636,0.005901063168411846
tokenized_pedal1,tokens,61,18967,0.006346420113136055
tokenized_pedal1,tokens,62,20249,0.006775381497911741
tokenized_pedal1,tokens,63,22776,0.007620923946685654
tokenized_pedal1,tokens,64,24459,0.008184061240427837
tokenized_pedal1,tokens,65,22458,0.007514520108652372
tokenized_pedal1,tokens,66,21109,0.0070631403051715615
tokenized_pedal1,tokens,67,19985,0.006687046236148261
tokenized_pedal1,tokens,68,18472,0.0061807914973295314
tokenized_pedal1,tokens,69,17890,0.005986052397532769
tokenized_pedal1,tokens,70,17124,0.005729746297112976
tokenized_pedal1,tokens,71,16905,0.005656468182240999
tokenized_pedal1,tokens,72,16927,0.005663829454054622
tokenized_pedal1,tokens,73,16316,0.005459386859594448
tokenized_pedal1,tokens,74,16025,0.005362017309696067
tokenized_pedal1,tokens,75,16191,0.005417561451562497
tokenized_pedal1,tokens,76,16214,0.0054252573266403755
tokenized_pedal1,tokens,77,16020,0.005360344293374788
tokenized_pedal1,tokens,78,16185,0.005415553831976963
tokenized_pedal1,tokens,79,16197,0.00541956907114803
tokenized_pedal1,tokens,80,15399,0.005152555666272058
tokenized_pedal1,tokens,81,16016,0.005359005880317766
