metric,count,excluded_files,mean,median,std,p25,p75,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,micro_value,macro_value,total_raw_repedal_count,total_preserved_repedal_count,total_lost_repedal_count
raw_intermediate_time_ratio,1,0,0.5359366540335679,0.5359366540335679,0.0,0.5359366540335679,0.5359366540335679,0.5359366540335679,0.5359366540335679,nan,nan,,,
token_intermediate_time_ratio,1,0,0.5284921494315106,0.5284921494315106,0.0,0.5284921494315106,0.5284921494315106,0.5284921494315106,0.5284921494315106,nan,nan,,,
cc64_nmae,1,0,0.059226709411729604,0.059226709411729604,0.0,0.059226709411729604,0.059226709411729604,0.059226709411729604,0.059226709411729604,nan,nan,,,
js_divergence,1,0,0.011887687962992829,0.011887687962992829,0.0,0.011887687962992829,0.011887687962992829,0.011887687962992829,0.011887687962992829,nan,nan,,,
wasserstein_distance,1,0,0.9208175419599396,0.9208175419599396,0.0,0.9208175419599396,0.9208175419599396,0.9208175419599396,0.9208175419599396,nan,nan,,,
repedal_recall,1,0,0.5625,0.5625,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,32,18,14
median_transition_error_ms,1,0,38.00000000000381,38.00000000000381,0.0,38.00000000000381,38.00000000000381,38.00000000000381,38.00000000000381,nan,nan,,,
p90_transition_error_ms,1,0,83.00000000000125,83.00000000000125,0.0,83.00000000000125,83.00000000000125,83.00000000000125,83.00000000000125,nan,nan,,,
