epoch,global_optimizer_step,epoch_seconds,peak_gpu_memory_bytes,train_loss,train_pedal_token_accuracy,train_exact_note_accuracy,train_pedal1_accuracy,train_pedal2_accuracy,train_pedal3_accuracy,train_pedal4_accuracy,train_pedal_value_mae,train_valid_target_count,train_valid_note_count,validation_loss,validation_pedal_token_accuracy,validation_exact_note_accuracy,validation_pedal1_accuracy,validation_pedal2_accuracy,validation_pedal3_accuracy,validation_pedal4_accuracy,validation_pedal_value_mae,validation_valid_target_count,validation_valid_note_count
1,702,253.76669270172715,9356540416,1.2239116525010176,0.5140181291373161,0.4012368333809342,0.5128153526804956,0.5106336570770392,0.5163212329789303,0.5163022738127996,1.033337954194659,22996792,5749198,1.1388706881172803,0.568311815137987,0.492299831864564,0.5663156597866419,0.5672632334183674,0.5696982983534323,0.5699700689935064,1.0019608251681353,2207744,551936
2,1404,254.96158647537231,9356540416,1.1005234928620065,0.5649760627482303,0.46661082119627817,0.5646133599851666,0.5635909565125431,0.5659011917836192,0.5657987427115921,0.8392700600957519,22996792,5749198,1.117111862148115,0.5798380609346011,0.5072707705241187,0.5774220199443414,0.5790526437847866,0.5819605896335807,0.5809169903756958,0.9410502305167947,2207744,551936
3,2106,255.6636624634266,9356540416,1.0559259984072016,0.5817986265214731,0.4853478693897827,0.5809292009076744,0.5807331735661218,0.5830239278591554,0.5825082037529409,0.7783245160712307,22996792,5749198,1.1156102244177202,0.580490763421846,0.505824950718924,0.57799092648423,0.5805310760667903,0.5817268668831169,0.5817141842532467,0.9218822473276524,2207744,551936
4,2808,254.2856650725007,9356540416,1.022809553848661,0.5945861927176626,0.49809155990105053,0.5935860967042708,0.5933024049615268,0.5959509482887874,0.5955053209160651,0.7340817798234854,22996792,5749198,1.180918637918851,0.5601301600185529,0.4854892596243043,0.5584542410714286,0.5596953269944341,0.5612897147495362,0.5610813572588126,0.9843478229359925,2207744,551936
5,3510,259.7483822442591,9356540416,0.9931089215913445,0.6062712138284331,0.5099078167076521,0.6050790040628276,0.604925069548831,0.6077339830703343,0.6073467986317396,0.6993576323579764,22996792,5749198,1.1322167083372212,0.5801347438833488,0.5046509015538033,0.5786232461734694,0.5789203820732839,0.5814895205241187,0.5815058267625232,0.902503188830802,2207744,551936
6,4212,264.4574769176543,9356540416,0.9624125772859488,0.6194430075290501,0.5230453012750648,0.6182594511443161,0.618061684429724,0.6209045157254978,0.6205463788166627,0.6638551586646462,22996792,5749198,1.156466247088834,0.5746440710517161,0.4991937471011132,0.5726569747217068,0.5737821051716141,0.5761827458256029,0.5759544584879406,0.9115336742494013,2207744,551936
7,4914,264.53590312227607,9356540416,0.9284631154675117,0.6334070856491636,0.5367964366508163,0.6323802032909633,0.6318669143070043,0.6349249060477653,0.6344563189509215,0.6290660455081033,22996792,5749198,1.1459999004852353,0.5796650336270872,0.5044280496289425,0.5777336502782932,0.5785018552875696,0.5811507131261595,0.5812739158163265,0.8987590952574211,2207744,551936
