epoch,global_optimizer_step,epoch_seconds,peak_gpu_memory_bytes,train_total_loss,train_region_ce_loss,train_depth_smooth_l1_loss,train_intermediate_target_count,train_region_accuracy,train_pedal_token_accuracy,train_exact_note_accuracy,train_pedal_value_mae,train_valid_target_count,train_valid_note_count,train_encoder_gradient_norm,train_head_gradient_norm,train_total_gradient_norm,train_encoder_learning_rate,train_head_learning_rate,train_amp_scale,validation_total_loss,validation_region_ce_loss,validation_depth_smooth_l1_loss,validation_intermediate_target_count,validation_region_accuracy,validation_pedal_token_accuracy,validation_exact_note_accuracy,validation_pedal_value_mae,validation_valid_target_count,validation_valid_note_count,validation_encoder_gradient_norm,validation_head_gradient_norm,validation_total_gradient_norm,validation_encoder_learning_rate,validation_head_learning_rate,validation_amp_scale
1,702,247.96102312207222,9352715264,0.9725124968329315,0.8425257312794949,0.1299867648887845,292679758484,0.595070216750232,0.38169423804850694,0.3012573231953396,30.056773923826917,22996792,5749198,2.79034757336273,2.1994748241345703,3.636545716235742,9.999999999999838e-06,0.00010000000000000136,1024.0,0.9878841717079531,0.8479200727643241,0.13996409617903502,22426980352,0.5997602077052412,0.49227039004522266,0.430776394364564,30.20553288787106,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
2,1404,248.30781266465783,9352711168,0.8714041033035699,0.7519178321045538,0.11948627037673049,292682719976,0.6483937846635305,0.42444837523425005,0.36435568926309375,25.083634018461623,22996792,5749198,3.447434149450651,1.9883975223621253,4.021641802255913,9.999999999999835e-06,0.00010000000000000139,1024.0,0.9604258334924206,0.8229312977454658,0.137494532028576,22426980352,0.6186478142393321,0.5069641226519017,0.4489016842532468,28.63005810633219,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
3,2106,248.42355951294303,9352716800,0.832462866398582,0.7165530596339854,0.11590980729852267,292674391608,0.6674750982658799,0.43834640066318814,0.38044575956507326,23.45259026018264,22996792,5749198,3.536210145046615,1.839567903330469,4.025213470500534,9.999999999999836e-06,0.00010000000000000139,1179.9281527614808,0.9594596367820074,0.8223158854279314,0.13714374727629997,22426980352,0.6190278401843692,0.5037825943587663,0.44792874536178107,28.089498151874718,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
4,2808,248.50159158930182,9352710656,0.8031546436852444,0.6893834316805506,0.11377121123534314,292681355536,0.6822896863179873,0.4456997741250171,0.3892803831073482,22.29953365164985,22996792,5749198,3.9496237440756072,1.758913636376933,4.358553343351125,9.999999999999835e-06,0.00010000000000000139,2048.0,1.0111043557165285,0.8725838830386995,0.13852047599534156,22426980352,0.6049510269306586,0.46656451110273656,0.41439949559369205,29.606339321950372,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
5,3510,248.6094996780157,9352714240,0.77538472079531,0.6632743924680198,0.11211032859297997,292688662588,0.6967378319549962,0.45444929884133406,0.39896990849854186,21.318247217200238,22996792,5749198,4.406916907166006,1.745877342840416,4.774170536136141,9.999999999999835e-06,0.00010000000000000139,2048.0,0.9905635939015971,0.85262871253026,0.13793487774971908,22426980352,0.6197330849953617,0.480328335169295,0.4276546556122449,28.162638423615352,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
6,4212,248.33893646672368,9352709632,0.7445298498096484,0.6335048348815481,0.11102501446547011,292697296576,0.7140846427623471,0.4628406431644901,0.4081835414261259,20.337020882404335,22996792,5749198,4.8998839921890935,1.6144099066630004,5.184242308274516,9.999999999999836e-06,0.00010000000000000136,2669.1128912241325,1.0051775941822214,0.8682397254543976,0.13693787106390565,22426980352,0.614370144364564,0.47789009957676254,0.4253627232142857,28.46240098666614,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
7,4914,248.40721584111452,9352712704,0.7108161961014825,0.600765327733385,0.11005086850579185,292686779164,0.7329013977253871,0.4723973239397913,0.4184494950426129,19.342043101785805,22996792,5749198,5.3915576111232495,1.4666093082286142,5.607990014127958,9.999999999999835e-06,0.00010000000000000139,4096.0,1.0401207002947637,0.9025033366259927,0.13761736505106784,22426980352,0.613365498898423,0.483098130942718,0.4323671585111317,28.614986614305145,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
