epoch,global_optimizer_step,epoch_seconds,peak_gpu_memory_bytes,train_total_loss,train_ce_loss,train_ordinal_loss,train_pedal_token_accuracy,train_exact_note_accuracy,train_pedal1_accuracy,train_pedal2_accuracy,train_pedal3_accuracy,train_pedal4_accuracy,train_pedal_value_mae,train_valid_target_count,train_valid_note_count,train_encoder_gradient_norm,train_head_gradient_norm,train_total_gradient_norm,train_encoder_learning_rate,train_head_learning_rate,train_amp_scale,validation_total_loss,validation_ce_loss,validation_ordinal_loss,validation_pedal_token_accuracy,validation_exact_note_accuracy,validation_pedal1_accuracy,validation_pedal2_accuracy,validation_pedal3_accuracy,validation_pedal4_accuracy,validation_pedal_value_mae,validation_valid_target_count,validation_valid_note_count,validation_encoder_gradient_norm,validation_head_gradient_norm,validation_total_gradient_norm,validation_encoder_learning_rate,validation_head_learning_rate,validation_amp_scale
1,702,249.02104230970144,9389157376,2.8887951244014762,2.7264965138787307,0.16229860920276976,0.482958449161083,0.42019460801315245,0.4818769504894422,0.4800097335315291,0.48116902566236197,0.4887780869609987,35.85627208870698,22996792,5749198,4.179974893439736,2.4044233530665458,4.987662571131306,9.999999999999838e-06,0.00010000000000000136,1024.0,2.4282609045173773,2.271173320365085,0.15708759176874867,0.5613177977156771,0.5088778409090909,0.5607026901669759,0.5592586821660482,0.5625036236085343,0.5628061949211502,32.5287710005808,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
2,1404,249.40596637129784,9388764160,2.6536605149669596,2.516663129656483,0.13699738653762747,0.5288982915530132,0.4761700675468126,0.5271637887580146,0.526850527673599,0.530603051069036,0.5309757987114029,30.771312631594952,22996792,5749198,4.799992680587235,1.8215698973478833,5.159162697751682,9.999999999999835e-06,0.00010000000000000139,1024.0,2.396898931165352,2.245311951814202,0.15158698553001726,0.5719512769596475,0.5182829168599258,0.570772698283859,0.5700606592068646,0.573466851229128,0.5735048991187384,30.94333265177173,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
3,2106,249.30470317974687,9388764160,2.5889304721772155,2.461692685425624,0.12723778741413933,0.5410591616430674,0.4876414066796795,0.5389529113451998,0.5393214844922718,0.5429519039003353,0.5430103468344628,28.955348474017956,22996792,5749198,4.500512467279631,1.5571233357925174,4.783192277164033,9.999999999999836e-06,0.00010000000000000139,2048.0,2.4160458099421853,2.262091501966699,0.15395430533529877,0.5706295657467533,0.5187014436456401,0.5687452893089053,0.5697037337662337,0.572220329893321,0.5718489100185529,31.172670835024352,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
4,2808,249.18508319184184,9388764160,2.5443671042301528,2.4233083780681666,0.12105872667389135,0.5482611661661331,0.4946691695085123,0.5459942412837407,0.546464915628232,0.5502167432744532,0.5503687644781063,27.875968266883806,22996792,5749198,5.147912352267363,1.568406876212694,5.400547346474095,9.999999999999835e-06,0.00010000000000000139,2048.0,2.456826517887151,2.2953362891758085,0.16149023574723384,0.5609368658685064,0.5101189268320965,0.5593836966604824,0.5596699617346939,0.5625054354128015,0.5621883696660482,32.354810615638634,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
5,3510,249.1639266088605,9388764160,2.505931049899985,2.389952459859478,0.11597859267736524,0.5537546280368149,0.5000010436238237,0.5514723966716749,0.551971770671318,0.5557676044554388,0.5558067403488278,27.03884059345576,22996792,5749198,5.611424220408182,1.5616788917284998,5.843462939242607,9.999999999999835e-06,0.00010000000000000139,2048.0,2.481066119914152,2.319454140145615,0.16161198192492043,0.5649735657757421,0.5148712894248608,0.5641016349721707,0.5635490346706865,0.5663917555658627,0.5658518378942486,31.6330231240154,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
6,4212,249.31035352498293,9388764160,2.4654974378278944,2.3546734661283417,0.11082397122104327,0.5585889110098486,0.5047813625483067,0.5562927211760667,0.5566701651256402,0.5606585475052347,0.5607342102324533,26.297466234809146,22996792,5749198,5.582493994390583,1.3523853860331498,5.7565212712650595,9.999999999999836e-06,0.00010000000000000136,4096.0,2.4454393493001225,2.2891365268677197,0.156302826524002,0.5722343713763914,0.5204480229591837,0.5706802962662337,0.5706966025046383,0.57365709067718,0.5739034960575139,30.78397359830329,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
