file,interval_index,event_sequence_index,slot_assignment,event_type,absolute_tick,absolute_time_sec,tau,previous_cc64,new_cc64,source_cc_event_index,ioi_duration_bin
1-1.mid,463,0,1,DOWN,64976,67.68333333333332,0.4869565217390242,63,67,172,100-250ms
1-1.mid,464,0,1,UP,65167,67.88229166666667,0.8571428571428951,64,63,180,100-250ms
1-1.mid,506,0,1,DOWN,69101,71.98020833333332,0.216949152542321,62,64,228,250-500ms
1-1.mid,506,1,2,UP,69273,72.159375,0.7999999999999907,64,63,235,250-500ms
1-1.mid,611,0,1,DOWN,79315,82.61979166666667,0.4763636363636338,63,64,318,250-500ms
1-1.mid,612,0,1,UP,79545,82.859375,0.6991869918698529,64,63,323,100-250ms
1-1.mid,785,0,1,DOWN,95290,99.26041666666667,0.4093959731543913,61,66,397,100-250ms
1-1.mid,786,0,1,UP,95445,99.421875,0.48905109489052184,65,62,405,100-250ms
1-1.mid,934,0,1,DOWN,114588,119.3625,0.6417445482865841,62,65,514,250-500ms
1-1.mid,936,0,1,UP,114973,119.76354166666667,0.8961937716262963,65,62,533,250-500ms
1-1.mid,969,0,1,DOWN,121053,126.096875,0.5205047318612017,63,64,604,250-500ms
1-1.mid,969,1,2,UP,121091,126.13645833333332,0.6403785488958798,64,63,605,250-500ms
1-1.mid,974,0,1,DOWN,122130,127.21875,0.5378151260504237,61,65,631,250-500ms
1-1.mid,975,0,1,UP,122304,127.4,0.8181818181830584,64,63,635,<100ms
2-0.mid,1,0,1,DOWN,514,0.6864309375,0.14049586776859502,63,65,4,500-1000ms
2-0.mid,2,0,1,UP,1204,1.607904375,0.08219178082191778,64,0,13,>=1000ms
2-0.mid,2,1,2,DOWN,1322,1.7654896875,0.22914072229140717,62,67,16,>=1000ms
2-0.mid,3,0,1,UP,1982,2.6468990625,0.05209656925031795,64,43,26,>=1000ms
2-0.mid,3,1,2,DOWN,2130,2.8445484375,0.24015247776365942,63,65,31,>=1000ms
2-0.mid,5,0,1,UP,2776,3.70726125,0.026950354609929117,69,62,41,500-1000ms
2-0.mid,5,1,2,DOWN,2998,4.0037353125,0.3418439716312056,63,65,47,500-1000ms
2-0.mid,7,0,1,UP,3494,4.6661278125,0.02328966521106281,70,63,57,500-1000ms
2-0.mid,7,1,2,DOWN,3731,4.98263390625,0.36826783114992756,62,65,63,500-1000ms
2-0.mid,9,0,1,UP,4228,5.646361875,0.05992010652463417,64,48,78,>=1000ms
2-0.mid,9,1,2,DOWN,4451,5.94417140625,0.3568575233022635,62,64,84,>=1000ms
2-0.mid,11,0,1,UP,4991,6.66532453125,0.03054448871181903,65,56,101,>=1000ms
2-0.mid,11,1,2,DOWN,5199,6.94310203125,0.3067729083665336,62,66,106,>=1000ms
2-0.mid,12,0,1,UP,5739,7.66425515625,0.02192448233861207,74,60,112,>=1000ms
2-0.mid,12,1,2,DOWN,5873,7.84320796875,0.18514007308160801,62,64,116,>=1000ms
2-0.mid,12,2,OVERFLOW,UP,6519,8.70592078125,0.9719853836784421,67,56,128,>=1000ms
2-0.mid,13,0,1,DOWN,6667,8.90357015625,0.17123287671232926,62,64,132,500-1000ms
2-0.mid,14,0,1,UP,7312,9.7649475,0.9302325581395456,65,63,141,<100ms
2-0.mid,15,0,1,DOWN,7608,10.16024625,0.4002732240437162,62,64,150,500-1000ms
2-0.mid,17,0,1,UP,8135,10.86403828125,0.08115543328748284,65,61,178,500-1000ms
2-0.mid,17,1,2,DOWN,8357,11.16051234375,0.3865199449793668,63,64,186,500-1000ms
2-0.mid,19,0,1,UP,8884,11.864304375,0.05569620253164527,64,57,208,>=1000ms
2-0.mid,19,1,2,DOWN,9128,12.19015875,0.3645569620253166,63,65,215,>=1000ms
2-0.mid,21,0,1,UP,9678,12.9246665625,0.02613636363636406,67,63,226,>=1000ms
2-0.mid,21,1,2,DOWN,9907,13.23048890625,0.2863636363636367,61,64,231,>=1000ms
2-0.mid,21,2,OVERFLOW,UP,10529,14.06115046875,0.9931818181818177,66,36,238,>=1000ms
2-0.mid,22,0,1,DOWN,10715,14.30954765625,0.22528160200250283,63,65,243,>=1000ms
2-0.mid,22,1,2,UP,11323,15.12151265625,0.9862327909887347,67,62,254,>=1000ms
2-0.mid,23,0,1,DOWN,11508,15.368574375,0.21777221526908594,60,64,260,>=1000ms
2-0.mid,25,0,1,UP,12198,16.2900478125,0.056694813027744984,65,57,270,>=1000ms
2-0.mid,25,1,2,DOWN,12538,16.7441071875,0.46682750301568193,63,65,278,>=1000ms
2-0.mid,27,0,1,UP,13036,17.409170625,0.03716608594657419,64,50,300,>=1000ms
2-0.mid,27,1,2,DOWN,13362,17.8445334375,0.4157955865272945,63,64,309,>=1000ms
2-0.mid,27,2,OVERFLOW,UP,13829,18.46819734375,0.9581881533101048,64,63,328,>=1000ms
2-0.mid,29,0,1,DOWN,14125,18.86349609375,0.2792792792792807,57,64,335,>=1000ms
2-0.mid,32,0,1,UP,14844,19.823698125,0.4772727272727156,65,56,345,100-250ms
2-0.mid,34,0,1,DOWN,15148,20.229680625,0.28368794326241303,62,65,350,500-1000ms
2-0.mid,35,0,1,UP,15564,20.785235625,0.014302741358758206,64,0,359,>=1000ms
2-0.mid,35,1,2,DOWN,15741,21.02161359375,0.22526817640047664,63,65,363,>=1000ms
2-0.mid,35,2,OVERFLOW,UP,16387,21.88432640625,0.9952324195470806,65,35,371,>=1000ms
2-0.mid,36,0,1,DOWN,16550,22.1020078125,0.4568965517241334,61,64,375,250-500ms
2-0.mid,40,0,1,UP,17164,22.921985625,0.00928792569660121,66,62,391,250-500ms
2-0.mid,49,0,1,DOWN,19025,25.40729296875,0.26968973747016406,61,64,404,500-1000ms
2-0.mid,50,0,1,UP,19337,25.82395921875,0.6000000000001064,77,63,412,<100ms
2-0.mid,52,0,1,DOWN,19640,26.22860625,0.8228571428571394,63,66,417,100-250ms
2-0.mid,54,0,1,UP,20071,26.80419328125,0.7894736842105557,66,44,425,<100ms
2-0.mid,55,0,1,DOWN,20279,27.08197078125,0.2710027100271005,60,64,430,500-1000ms
2-0.mid,56,0,1,UP,20819,27.80312390625,0.005181347150258282,73,56,436,500-1000ms
2-0.mid,56,1,2,DOWN,20953,27.98207671875,0.3523316062176183,55,64,439,500-1000ms
2-0.mid,59,0,1,UP,21597,28.84211859375,0.0,64,38,449,<100ms
2-0.mid,60,0,1,DOWN,21820,29.139928125,0.5789473684210544,63,66,454,500-1000ms
2-0.mid,61,0,1,UP,22021,29.40835734375,0.12202380952381395,64,60,464,250-500ms
