scope,file,method,boundaries,class,ioi_count,ioi_proportion_among_on_iois,on_duration_sec,on_duration_proportion,representative_time_weighted_median_cc64
per_file,13-5.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1439,0.36146696809846773,78.35677083333344,0.31429630906308653,87.0
per_file,13-5.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2542,0.6385330319015323,170.95182291666643,0.6857036909369134,127.0
per_file,13-5.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,13-6.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1916,0.45782556750298686,91.81770833333306,0.40955385601843586,96.0
per_file,13-6.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2269,0.5421744324970131,132.3718750000001,0.5904461439815641,127.0
per_file,13-6.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,13-7.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1126,0.26905615292712065,62.34322916666707,0.22953268519051315,80.0
per_file,13-7.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,3059,0.7309438470728793,209.2661458333331,0.7704673148094868,127.0
per_file,13-7.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,13-8.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1248,0.32928759894459103,58.69375000000005,0.2721792307915259,85.0
per_file,13-8.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2542,0.670712401055409,156.9499999999997,0.727820769208474,127.0
per_file,13-8.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,14-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,223,0.4442231075697211,16.71614583333334,0.4174009168644531,72.0
per_file,14-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,279,0.5557768924302788,23.332031250000064,0.582599083135547,127.0
per_file,14-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,14-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,108,0.4954128440366973,7.554687499999815,0.42819188191881086,74.0
per_file,14-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,110,0.5045871559633027,10.088541666666762,0.571808118081189,127.0
per_file,14-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,15-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,53,0.8412698412698413,6.968475937499921,0.7647662318628123,73.0
per_file,15-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,10,0.15873015873015872,2.143427343750031,0.23523376813718772,127.0
per_file,15-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,15-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,385,0.380811078140455,38.31940612499952,0.3237123078728113,92.0
per_file,15-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,626,0.619188921859545,80.05547550000026,0.6762876921271888,127.0
per_file,15-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,15-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,451,0.874031007751938,63.04080234374998,0.9043449940610746,87.0
per_file,15-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,65,0.12596899224806202,6.667995468750043,0.09565500593892544,127.0
per_file,15-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,16-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,362,0.923469387755102,27.795572916666664,0.8719111220030225,88.0
per_file,16-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,30,0.07653061224489796,4.083333333333334,0.12808887799697752,127.0
per_file,16-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,16-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,70,0.19662921348314608,4.711458333333347,0.14909186801595448,76.0
per_file,16-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,286,0.8033707865168539,26.889583333333334,0.8509081319840455,127.0
per_file,16-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,529,0.17926126736699424,22.558333333333096,0.11219213991897345,79.0
per_file,17-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2422,0.8207387326330058,178.5104166666669,0.8878078600810265,127.0
per_file,17-0.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,662,0.17916102841677944,28.310602031250305,0.12376231843445083,80.0
per_file,17-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,3033,0.8208389715832206,200.43916921874984,0.8762376815655492,127.0
per_file,17-1.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,470,0.13967310549777118,23.160188087499783,0.09565708536682127,90.0
per_file,17-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2895,0.8603268945022289,218.95661903333385,0.9043429146331787,127.0
per_file,17-2.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-3.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,2161,0.7569176882661997,164.001302083334,0.7173988574292748,90.0
per_file,17-3.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,694,0.24308231173380035,64.60416666666627,0.2826011425707251,127.0
per_file,17-3.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-4.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,845,0.2757832898172324,53.59102546875005,0.23326880932866007,92.0
per_file,17-4.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2219,0.7242167101827677,176.1483281249998,0.76673119067134,127.0
per_file,17-4.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-5.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,1133,0.329743888242142,59.07579562499994,0.25518168340534486,86.0
per_file,17-5.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,2303,0.6702561117578579,172.42904765625013,0.744818316594655,127.0
per_file,17-5.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
per_file,17-6.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,LIGHT,2320,0.6444444444444445,145.15476937499994,0.6028798367057148,88.0
per_file,17-6.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,MEDIUM,1280,0.35555555555555557,95.61422062500017,0.39712016329428523,127.0
per_file,17-6.mid,time_weighted_tertile,64<=LIGHT<=122;122<MEDIUM<=127;127<DEEP<=127,DEEP,0,0.0,0.0,0.0,
