file,interval_index,onset_start_sec,onset_end_sec,ioi_duration_sec,ioi_duration_ms,transition_count,event_types,event_absolute_times_sec,event_relative_times_tau
2-0.mid,12,7.64021671875,8.7366365625,1.0964198437499997,1096.4198437499997,3,UP|DOWN|UP,7.664255156|7.843207969|8.705920781,0.021924482|0.185140073|0.971985384
2-0.mid,21,12.89395078125,14.06916328125,1.1752125000000007,1175.2125000000005,3,UP|DOWN|UP,12.924666563|13.230488906|14.061150469,0.026136364|0.286363636|0.993181818
2-0.mid,27,17.366435625,18.51627421875,1.1498385937499975,1149.8385937499975,3,UP|DOWN|UP,17.409170625|17.844533438|18.468197344,0.037166086|0.415795587|0.958188153
2-0.mid,35,20.76921,21.88966828125,1.1204582812499986,1120.4582812499987,3,UP|DOWN|UP,20.785235625|21.021613594|21.884326406,0.014302741|0.225268176|0.995232420
2-0.mid,996,248.4105421875,249.49761375,1.0870715625000003,1087.0715625000003,3,UP|DOWN|UP,248.435916094|248.674965000|249.496278281,0.023341523|0.243243243|0.998771499
4-0.mid,154,21.85761703125,22.1020078125,0.24439078124999725,244.39078124999725,3,UP|DOWN|UP,21.858952500|21.977809219|22.095330469,0.005464481|0.491803279|0.972677596
5-0.mid,754,83.70050390625,84.75018234375,1.049678437499992,1049.678437499992,3,UP|DOWN|UP,83.731219688|84.236026875|84.549862031,0.029262087|0.510178117|0.809160305
5-0.mid,785,87.68287171875,88.70316984375,1.0202981250000107,1020.2981250000107,3,UP|DOWN|UP,87.748309687|88.175659688|88.631054531,0.064136126|0.482984293|0.929319372
5-0.mid,2732,296.169575625,297.17919,1.0096143750000124,1009.6143750000124,3,UP|DOWN|UP,296.186936719|296.662363594|297.000237187,0.017195767|0.488095238|0.822751323
5-0.mid,2770,300.21471046875,301.26438890625,1.0496784375000061,1049.678437500006,3,UP|DOWN|UP,300.249432656|300.723524063|301.249698750,0.033078880|0.484732824|0.986005089
5-1.mid,2706,292.07926656875003,292.78546106666664,0.7061944979166128,706.1944979166128,3,UP|DOWN|UP,292.087813552|292.224565285|292.554692517,0.012102874|0.205748865|0.673222390
5-2.mid,687,71.63320828125,72.33833578125,0.705127499999989,705.127499999989,3,DOWN|UP|DOWN,71.699981719|72.116647969|72.324981094,0.094696970|0.685606061|0.981060606
5-2.mid,2003,208.2716934375,209.56309171875,1.2913982812499967,1291.3982812499967,3,DOWN|UP|DOWN,208.306415625|208.861970625|209.525698594,0.026887280|0.457083764|0.971044467
5-2.mid,2741,286.7865721875,287.70938109375,0.9228089062499976,922.8089062499976,3,UP|DOWN|UP,286.823965312|286.961518594|287.686678125,0.040520984|0.189580318|0.975397974
6-0.mid,13,2.9895833333333335,5.638020833333333,2.6484374999999996,2648.4374999999995,3,UP|DOWN|UP,3.054687500|4.134114583|5.619791667,0.024582104|0.432153392|0.993117011
6-0.mid,193,39.8671875,41.2109375,1.34375,1343.75,3,UP|DOWN|UP,39.871093750|40.377604167|41.188802083,0.002906977|0.379844961|0.983527132
6-0.mid,226,46.369791666666664,47.79296875,1.4231770833333357,1423.1770833333358,3,UP|DOWN|UP,46.377604167|46.873697917|47.772135417,0.005489478|0.354071363|0.985361391
6-0.mid,245,50.014322916666664,53.001302083333336,2.9869791666666714,2986.9791666666715,3,UP|DOWN|UP,50.130208333|51.050781250|52.989583333,0.038796861|0.346992153|0.996076722
6-0.mid,1363,183.70963541666666,185.55338541666666,1.84375,1843.75,3,DOWN|UP|DOWN,184.239583333|185.000000000|185.278645833,0.287429379|0.699858757|0.850988701
6-0.mid,1418,194.42708333333334,197.61197916666666,3.1848958333333144,3184.8958333333144,3,UP|DOWN|UP,194.428385417|194.942708333|195.804687500,0.000408831|0.161896975|0.432542927
6-0.mid,1433,199.80598958333334,202.8984375,3.092447916666657,3092.447916666657,3,UP|DOWN|UP,199.822916667|200.407552083|201.257812500,0.005473684|0.194526316|0.469473684
6-0.mid,2698,300.1497395833333,301.7083333333333,1.55859375,1558.59375,3,DOWN|UP|DOWN,300.561197917|301.303385417|301.481770833,0.263993317|0.740183793|0.854636591
6-0.mid,2769,316.484375,319.421875,2.9375,2937.5,3,UP|DOWN|UP,316.503906250|317.059895833|318.080729167,0.006648936|0.195921986|0.543439716
6-0.mid,4347,445.1966145833333,447.21875,2.0221354166666856,2022.1354166666856,3,DOWN|UP|DOWN,445.854166667|446.712239583|446.930989583,0.325177077|0.749517064|0.857694784
6-0.mid,4404,457.5716145833333,460.9361979166667,3.3645833333333712,3364.5833333333712,3,UP|DOWN|UP,457.576822917|458.091145833|458.933593750,0.001547988|0.154411765|0.404798762
6-0.mid,4417,463.0221354166667,466.2682291666667,3.24609375,3246.09375,3,UP|DOWN|UP,463.032552083|463.596354167|464.774739583,0.003208985|0.176895307|0.539911753
6-1.mid,43,11.118578625,13.364302875,2.2457242500000003,2245.72425,4,UP|DOWN|UP|DOWN,11.219005875|11.477552625|12.219004875|13.098277500,0.044719315|0.159847764|0.490009515|0.881541389
6-1.mid,64,16.06836,20.77989375,4.711533750000001,4711.5337500000005,4,UP|DOWN|UP|DOWN,16.275624750|16.710453375|19.876048500|20.707244250,0.043990930|0.136281179|0.808163265|0.984580499
6-1.mid,113,29.60467125,31.59612225,1.9914510000000014,1991.4510000000014,4,UP|DOWN|UP|DOWN,29.699756625|29.945482875|30.577960875|31.339712250,0.047746781|0.171137339|0.488733906|0.871244635
6-1.mid,133,34.0384275,38.60038875,4.561961250000003,4561.961250000003,4,UP|DOWN|UP|DOWN,34.238213625|34.657016625|37.729663125|38.274534375,0.043793911|0.135597190|0.809133489|0.928571429
6-1.mid,323,79.366373625,80.227483875,0.8611102500000101,861.1102500000101,3,UP|DOWN|UP,79.398424875|79.439023125|79.695433125,0.037220844|0.084367246|0.382133995
6-1.mid,534,131.69003925,133.193242875,1.5032036249999976,1503.2036249999976,3,UP|DOWN|UP,131.702859750|131.871663000|132.206064375,0.008528785|0.120824449|0.343283582
6-1.mid,546,134.7648225,137.857768125,3.0929456249999987,3092.9456249999985,3,UP|DOWN|UP,134.925078750|136.538325000|137.676144375,0.051813472|0.573402418|0.941278066
6-1.mid,1394,202.024370625,203.485907625,1.4615370000000212,1461.5370000000212,4,UP|DOWN|UP|DOWN,202.156849125|202.373729250|203.155779750|203.413258125,0.090643275|0.239035088|0.774122807|0.950292398
6-1.mid,1451,210.49765275,213.763675125,3.2660223750000057,3266.022375000006,4,UP|DOWN|UP|DOWN,210.634404750|210.880131000|211.781839500|212.413249125,0.041871115|0.117108276|0.393195944|0.586522735
6-1.mid,1468,216.66645,220.011532125,3.3450821250000047,3345.0821250000045,3,UP|DOWN|UP,216.872646375|217.349141625|219.168584250,0.061641648|0.204088151|0.748003833
6-1.mid,1855,244.819199625,247.0467615,2.227561874999992,2227.561874999992,3,DOWN|UP|DOWN,244.839498750|245.134370250|246.975180375,0.009112710|0.141486811|0.967865707
6-1.mid,3055,344.7902535,346.287046875,1.4967933749999816,1496.7933749999816,4,UP|DOWN|UP|DOWN,344.936620875|345.135338625|345.816961875|346.213329000,0.097787295|0.230549607|0.685938615|0.950749465
6-1.mid,3112,354.68126925,358.62570975,3.9444404999999847,3944.4404999999847,4,UP|DOWN|UP|DOWN,354.876781875|355.037038125|356.015669625|356.974002000,0.049566631|0.090195016|0.338299025|0.581256771
6-1.mid,3129,361.524211125,365.529549,4.005337874999952,4005.3378749999524,4,UP|DOWN|UP|DOWN,361.700493000|362.048783250|363.480405750|364.807327500,0.044011736|0.130968258|0.488396906|0.819685249
6-1.mid,3821,424.733549625,425.919445875,1.1858962499999848,1185.8962499999848,3,DOWN|UP|DOWN,424.762395750|425.048720250|425.868163875,0.024324324|0.265765766|0.956756757
6-2.mid,43,11.118578625,13.364302875,2.2457242500000003,2245.72425,4,UP|DOWN|UP|DOWN,11.219005875|11.477552625|12.219004875|13.098277500,0.044719315|0.159847764|0.490009515|0.881541389
6-2.mid,64,16.06836,20.77989375,4.711533750000001,4711.5337500000005,4,UP|DOWN|UP|DOWN,16.275624750|16.710453375|19.876048500|20.707244250,0.043990930|0.136281179|0.808163265|0.984580499
6-2.mid,113,29.60467125,31.59612225,1.9914510000000014,1991.4510000000014,4,UP|DOWN|UP|DOWN,29.699756625|29.945482875|30.577960875|31.339712250,0.047746781|0.171137339|0.488733906|0.871244635
6-2.mid,133,34.0384275,38.60038875,4.561961250000003,4561.961250000003,4,UP|DOWN|UP|DOWN,34.238213625|34.657016625|37.729663125|38.274534375,0.043793911|0.135597190|0.809133489|0.928571429
6-2.mid,323,79.366373625,80.227483875,0.8611102500000101,861.1102500000101,3,UP|DOWN|UP,79.398424875|79.439023125|79.695433125,0.037220844|0.084367246|0.382133995
6-2.mid,534,131.69003925,133.193242875,1.5032036249999976,1503.2036249999976,3,UP|DOWN|UP,131.702859750|131.871663000|132.206064375,0.008528785|0.120824449|0.343283582
6-2.mid,546,134.7648225,137.857768125,3.0929456249999987,3092.9456249999985,3,UP|DOWN|UP,134.925078750|136.538325000|137.676144375,0.051813472|0.573402418|0.941278066
6-2.mid,1394,202.024370625,203.485907625,1.4615370000000212,1461.5370000000212,4,UP|DOWN|UP|DOWN,202.156849125|202.373729250|203.155779750|203.413258125,0.090643275|0.239035088|0.774122807|0.950292398
6-2.mid,1451,210.49765275,213.763675125,3.2660223750000057,3266.022375000006,4,UP|DOWN|UP|DOWN,210.634404750|210.880131000|211.781839500|212.413249125,0.041871115|0.117108276|0.393195944|0.586522735
6-2.mid,1468,216.66645,220.011532125,3.3450821250000047,3345.0821250000045,3,UP|DOWN|UP,216.872646375|217.349141625|219.168584250,0.061641648|0.204088151|0.748003833
6-2.mid,1855,244.819199625,247.0467615,2.227561874999992,2227.561874999992,3,DOWN|UP|DOWN,244.839498750|245.134370250|246.975180375,0.009112710|0.141486811|0.967865707
6-2.mid,3055,344.7902535,346.287046875,1.4967933749999816,1496.7933749999816,4,UP|DOWN|UP|DOWN,344.936620875|345.135338625|345.816961875|346.213329000,0.097787295|0.230549607|0.685938615|0.950749465
6-2.mid,3112,354.68126925,358.62570975,3.9444404999999847,3944.4404999999847,4,UP|DOWN|UP|DOWN,354.876781875|355.037038125|356.015669625|356.974002000,0.049566631|0.090195016|0.338299025|0.581256771
6-2.mid,3129,361.524211125,365.529549,4.005337874999952,4005.3378749999524,4,UP|DOWN|UP|DOWN,361.700493000|362.048783250|363.480405750|364.807327500,0.044011736|0.130968258|0.488396906|0.819685249
6-2.mid,3821,424.733549625,425.919445875,1.1858962499999848,1185.8962499999848,3,DOWN|UP|DOWN,424.762395750|425.048720250|425.868163875,0.024324324|0.265765766|0.956756757
6-3.mid,43,11.118578625,13.364302875,2.2457242500000003,2245.72425,4,UP|DOWN|UP|DOWN,11.219005875|11.477552625|12.219004875|13.098277500,0.044719315|0.159847764|0.490009515|0.881541389
6-3.mid,64,16.06836,20.77989375,4.711533750000001,4711.5337500000005,4,UP|DOWN|UP|DOWN,16.275624750|16.710453375|19.876048500|20.707244250,0.043990930|0.136281179|0.808163265|0.984580499
6-3.mid,113,29.60467125,31.59612225,1.9914510000000014,1991.4510000000014,4,UP|DOWN|UP|DOWN,29.699756625|29.945482875|30.577960875|31.339712250,0.047746781|0.171137339|0.488733906|0.871244635
6-3.mid,133,34.0384275,38.60038875,4.561961250000003,4561.961250000003,4,UP|DOWN|UP|DOWN,34.238213625|34.657016625|37.729663125|38.274534375,0.043793911|0.135597190|0.809133489|0.928571429
6-3.mid,323,79.366373625,80.227483875,0.8611102500000101,861.1102500000101,3,UP|DOWN|UP,79.398424875|79.439023125|79.695433125,0.037220844|0.084367246|0.382133995
