epoch,global_optimizer_step,epoch_seconds,peak_gpu_memory_bytes,train_total_loss,train_ce_loss,train_ordinal_loss,train_pedal_token_accuracy,train_exact_note_accuracy,train_pedal1_accuracy,train_pedal2_accuracy,train_pedal3_accuracy,train_pedal4_accuracy,train_pedal_value_mae,train_valid_target_count,train_valid_note_count,train_encoder_gradient_norm,train_head_gradient_norm,train_total_gradient_norm,train_encoder_learning_rate,train_head_learning_rate,train_amp_scale,validation_total_loss,validation_ce_loss,validation_ordinal_loss,validation_pedal_token_accuracy,validation_exact_note_accuracy,validation_pedal1_accuracy,validation_pedal2_accuracy,validation_pedal3_accuracy,validation_pedal4_accuracy,validation_pedal_value_mae,validation_valid_target_count,validation_valid_note_count,validation_encoder_gradient_norm,validation_head_gradient_norm,validation_total_gradient_norm,validation_encoder_learning_rate,validation_head_learning_rate,validation_amp_scale
1,702,249.05242926999927,9375132672,2.809243418668918,2.7278178604305245,0.16285110747573356,0.4821298553293868,0.4193967575999296,0.4810888405652406,0.479237451901987,0.4803626523212455,0.48783047652907413,35.98285355911889,22996792,5749198,3.862504641265199,2.282710014134738,4.64504113120181,9.999999999999838e-06,0.00010000000000000136,1024.0,2.348762907875712,2.2702989127065343,0.15692797567218486,0.5616701936456401,0.5093470982142857,0.5610686746289425,0.5595703125,0.5628641726576994,0.5631776147959183,32.48928272657801,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
2,1404,249.30301966890693,9375132672,2.5871032164990897,2.518352834638385,0.13750076440420445,0.52812992351281,0.4756541695032942,0.5264389920124511,0.5260490245769932,0.5298050267185093,0.5302266507432862,30.88393207515611,22996792,5749198,4.411679729311328,1.7166702514987857,4.758518337942294,9.999999999999835e-06,0.00010000000000000139,1024.0,2.3216739857572795,2.2458088477600042,0.1517302873155624,0.5718085973736086,0.5184912743506493,0.5705752116187384,0.5698450544990723,0.5733364013218923,0.573477722054731,30.95899117015067,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
3,2106,249.11379558593035,9375132672,2.5268280066406863,2.463000106778903,0.12765579903797863,0.5404212900651534,0.4871392496831732,0.5383197795588185,0.5386596530507386,0.5422942469540969,0.5424114806969598,29.052294253955793,22996792,5749198,4.155833715417392,1.4752871577102222,4.430438470817048,9.999999999999836e-06,0.00010000000000000139,2048.0,2.33769475153072,2.2607632371180575,0.15386301363388108,0.5705521111143321,0.5185728055426716,0.5685804151205937,0.5696040845315399,0.5722040236549165,0.5718199211502782,31.18539015481556,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
4,2808,249.16918551921844,9375132672,2.4850961650034358,2.424369109602149,0.12145410759574689,0.5476298607214433,0.4941294420543526,0.5454002453907484,0.5458176949202306,0.5495822199896403,0.5497192825851536,27.97094529955302,22996792,5749198,4.762530430825142,1.483235997835337,5.006814048682117,9.999999999999835e-06,0.00010000000000000139,2048.0,2.3758677206587926,2.295030764392223,0.16167389913868152,0.5603829067138218,0.5096351750927643,0.5588981331168831,0.5590938079777366,0.5618767393320965,0.5616629464285714,32.41507847101215,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
5,3510,249.12935816124082,9375132672,2.449246555721605,2.3910415641655627,0.11640998300102327,0.5531068855169017,0.4993887843139165,0.5508330031423513,0.5513068083583136,0.5551000330828753,0.5551876974840665,27.13745300331417,22996792,5749198,5.222877412398757,1.4810419239788308,5.44732193734,9.999999999999835e-06,0.00010000000000000139,2048.0,2.399242142135889,2.318422631673335,0.16163902858994444,0.5647869499362245,0.5147589575602969,0.5640219155844156,0.5633732896567718,0.5661344793599258,0.5656181151437848,31.659751765582026,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
6,4212,249.20410967245698,9375132672,2.4113062879256435,2.355663351794438,0.11128587320600422,0.5578812470887243,0.5040376066366126,0.5555941889633997,0.5559852000226814,0.5599461003082516,0.5599994990605647,26.404981404178496,22996792,5749198,5.2447258728060175,1.292516229919747,5.413747573665361,9.999999999999836e-06,0.00010000000000000136,4096.0,2.3642462950911725,2.2862794444600816,0.15593367613202344,0.5725872202574211,0.5207850185528757,0.570997362012987,0.571064398770872,0.574015827922078,0.5742712923237476,30.741425639844337,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
