epoch,global_optimizer_step,epoch_seconds,peak_gpu_memory_bytes,train_loss,train_pedal_token_accuracy,train_exact_note_accuracy,train_pedal1_accuracy,train_pedal2_accuracy,train_pedal3_accuracy,train_pedal4_accuracy,train_pedal_value_mae,train_valid_target_count,train_valid_note_count,validation_loss,validation_pedal_token_accuracy,validation_exact_note_accuracy,validation_pedal1_accuracy,validation_pedal2_accuracy,validation_pedal3_accuracy,validation_pedal4_accuracy,validation_pedal_value_mae,validation_valid_target_count,validation_valid_note_count
1,702,253.6064110174775,9368943104,2.7284205761668874,0.4815092470288899,0.4186837885910348,0.48044579435253404,0.4786269319651193,0.4797858762213443,0.4871783855765622,36.08744959882911,22996792,5749198,2.2709571779990685,0.5611823653467068,0.5094684891001855,0.5604653438079777,0.5589959705473099,0.5625996492346939,0.562668497796846,32.535822088952855,2207744,551936
2,1404,254.19156734272838,9368943104,2.5199756140131244,0.5273204193002224,0.4751520125067879,0.5256559262700641,0.5252000365964088,0.5290036975592074,0.5294220167752094,31.002166438903814,22996792,5749198,2.2459586270443803,0.5717999913033395,0.5187068790584416,0.570515422077922,0.5697091691790352,0.573378072820037,0.5735973011363636,30.96791883656178,2207744,551936
3,2106,254.06099454313517,9368943104,2.464913169797919,0.5396087419497467,0.48652281587797114,0.5375353223179998,0.5378151874400569,0.5414643920769471,0.5416200659639832,29.176304421988053,22996792,5749198,2.2598530545084285,0.5702427455357143,0.518284728664193,0.5682778438079777,0.5691710633116883,0.5718108621289425,0.5717112128942486,31.223113277626393,2207744,551936
4,2808,254.69439615681767,9368943104,2.4261754955117016,0.5468443598568009,0.49343299708933314,0.544600655604486,0.5450480223502479,0.548813938918089,0.5489148225543806,28.09136557740964,22996792,5749198,2.295029261337804,0.559557176919063,0.5089448776669759,0.5580339024814471,0.5582495071892394,0.560950907351577,0.5609943906539888,32.51501804910918,2207744,551936
5,3510,254.2163756377995,9368943104,2.392985707333665,0.5522293718184693,0.4985484931985296,0.5499454010802898,0.5504190323589482,0.5542425221743972,0.554310531660242,27.270551521979264,22996792,5749198,2.3184428065738785,0.5640572457676253,0.5140813427643784,0.5632464633580705,0.562668497796846,0.5654894770408163,0.5648245448747681,31.76273607809601,2207744,551936
6,4212,254.13577522709966,9368943104,2.3574668704639175,0.5569660324796606,0.5031519178848946,0.554671973377852,0.5550666371205166,0.5590141442336827,0.5591113751865913,26.54573585958146,22996792,5749198,2.285506557334553,0.5723639153814936,0.5205331777597403,0.5708179933905381,0.5708596648886828,0.5737766697588126,0.5740013334879406,30.772349512422238,2207744,551936
