epoch,global_optimizer_step,epoch_seconds,peak_gpu_memory_bytes,train_total_loss,train_ce_loss,train_ordinal_loss,train_pedal_token_accuracy,train_exact_note_accuracy,train_pedal1_accuracy,train_pedal2_accuracy,train_pedal3_accuracy,train_pedal4_accuracy,train_pedal_value_mae,train_valid_target_count,train_valid_note_count,train_encoder_gradient_norm,train_head_gradient_norm,train_total_gradient_norm,train_encoder_learning_rate,train_head_learning_rate,train_amp_scale,validation_total_loss,validation_ce_loss,validation_ordinal_loss,validation_pedal_token_accuracy,validation_exact_note_accuracy,validation_pedal1_accuracy,validation_pedal2_accuracy,validation_pedal3_accuracy,validation_pedal4_accuracy,validation_pedal_value_mae,validation_valid_target_count,validation_valid_note_count,validation_encoder_gradient_norm,validation_head_gradient_norm,validation_total_gradient_norm,validation_encoder_learning_rate,validation_head_learning_rate,validation_amp_scale
1,702,248.70076391100883,9375656960,2.7445828777014984,2.728265745114662,0.16317129637360653,0.48165661540966237,0.41884572422101307,0.4806047730483452,0.47875895037881805,0.47993111387014326,0.4873316243413429,36.06361240359641,22996792,5749198,3.5547650066806313,2.163318521700056,4.312973271056413,9.999999999999838e-06,0.00010000000000000136,1024.0,2.2864923862004325,2.2707816116885042,0.15710773683932364,0.5613553926542207,0.509473924512987,0.5606664540816326,0.5591680919526901,0.5627156047077922,0.5628714198747681,32.51735844550195,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
2,1404,249.27403673157096,9375656960,2.533394349256235,2.519603550630659,0.13790797020802212,0.5274869207844294,0.4752671590020034,0.525801685730775,0.5253786702075663,0.5291748518662951,0.5295924753330813,30.97699049215987,22996792,5749198,4.12113716728853,1.6299303360493174,4.456211460946104,9.999999999999835e-06,0.00010000000000000139,1024.0,2.26104905388572,2.2458755153893097,0.1517353158769006,0.571824903612013,0.5186543367346939,0.5705570935760668,0.56976352330705,0.5734088734925789,0.5735701240723562,30.963342671933997,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
3,2106,249.19315411150455,9375656960,2.477292661957161,2.4644840117327225,0.12808649160835886,0.5397775915875571,0.486647528924904,0.5376885610827806,0.5379985173584211,0.5416428517508007,0.5417804361582259,29.15043233782175,22996792,5749198,3.8992215352338357,1.4116499771291102,4.1671775740796075,9.999999999999836e-06,0.00010000000000000139,2048.0,2.2752703903778584,2.259886151784426,0.15384238023926022,0.5703727424918831,0.518386189703154,0.568393799281076,0.5693232548701299,0.5719485592532467,0.5718253565630798,31.208374250797704,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
4,2808,249.38387951254845,9375656960,2.4379399389707195,2.425752442426813,0.121874994370939,0.5470242979977381,0.49359458484470353,0.5447932041999597,0.5452235250899343,0.548984571413265,0.5490958912877936,28.063712547467347,22996792,5749198,4.467908216048712,1.4156978517196752,4.705320492806374,9.999999999999835e-06,0.00010000000000000139,2048.0,2.311243181989454,2.29505167710759,0.1619150524679053,0.5596957799455009,0.5090934456168831,0.5581987766697588,0.5583618390538033,0.561119405148423,0.5611030989100185,32.49833540659888,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
5,3510,249.08833473920822,9375656960,2.40422866753199,2.3925409730482965,0.11687697083660822,0.5524308347007705,0.4987417375432191,0.5501546476569428,0.5506171469481482,0.5544303744626642,0.5545211697353266,27.240834810878475,22996792,5749198,4.9295587484564765,1.4192372406665348,5.148117784057424,9.999999999999835e-06,0.00010000000000000139,2048.0,2.334697163281945,2.3185078997116584,0.1618927757295474,0.5642044548643321,0.5141719329777366,0.563420396567718,0.56278082966141,0.565632609577922,0.5649839836502782,31.74142790106099,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
6,4212,249.42168762162328,9375656960,2.3682049064941957,2.3570281626610927,0.11176747297932874,0.5571658864419002,0.503355946342429,0.554884698700584,0.5552696219542274,0.5592002571489102,0.5593089679638795,26.515017922347894,22996792,5749198,4.977213008827055,1.2449607648279952,5.14236609082569,9.999999999999836e-06,0.00010000000000000136,4096.0,2.3017447107576925,2.286139164762727,0.15605541423018435,0.5723313029046846,0.520542236781076,0.5707908163265306,0.5708415468460112,0.5737458690862709,0.5739469793599258,30.77450555861549,2207744,551936,0.0,0.0,0.0,0.0,0.0,1.0
